LocationID,latitude,longitude,zone_borough
1,-74.17427027586203,40.69024330172403,"Newark Airport, EWR"
2,-73.81764292356883,40.61216268077739,"Jamaica Bay, Queens"
3,-73.84650986336355,40.86429403840487,"Allerton/Pelham Gardens, Bronx"
4,-73.97520908904804,40.72385314970739,"Alphabet City, Manhattan"
5,-74.1898026069764,40.55667805421755,"Arden Heights, Staten Island"
6,-74.07174675600427,40.60111748548471,"Arrochar/Fort Wadsworth, Staten Island"
7,-73.91936504548893,40.7614329365109,"Astoria, Queens"
8,-73.9233958241691,40.77807743974381,"Astoria Park, Queens"
9,-73.79018835662424,40.750302438936416,"Auburndale, Queens"
10,-73.79031743432476,40.67793075647762,"Baisley Park, Queens"
11,-74.00902265466557,40.602691959021456,"Bath Beach, Brooklyn"
12,-74.01547738338621,40.702091093786365,"Battery Park, Manhattan"
13,-74.01732560300114,40.70941900773059,"Battery Park City, Manhattan"
14,-74.02924605730355,40.625195972929376,"Bay Ridge, Brooklyn"
15,-73.77860618505592,40.79099485971974,"Bay Terrace/Fort Totten, Queens"
16,-73.76797232853129,40.76281126316483,"Bayside, Queens"
17,-73.95031617778682,40.6923989522704,"Bedford, Brooklyn"
18,-73.88938681168742,40.8688767444921,"Bedford Park, Bronx"
19,-73.72886971018566,40.73468188788073,"Bellerose, Queens"
20,-73.88536610645447,40.85894073699991,"Belmont, Bronx"
21,-73.99043980619618,40.5968857703449,"Bensonhurst East, Brooklyn"
22,-73.99579855752064,40.60880523078704,"Bensonhurst West, Brooklyn"
23,-74.1905121246577,40.60462435297202,"Bloomfield/Emerson Hill, Staten Island"
24,-73.967739177612,40.80294679300086,"Bloomingdale, Manhattan"
25,-73.98592946008687,40.68658766210137,"Boerum Hill, Brooklyn"
26,-73.98795177269223,40.630737482492215,"Borough Park, Brooklyn"
27,-73.89081930147192,40.56129837263247,"Breezy Point/Fort Tilden/Riis Beach, Queens"
28,-73.80698408223753,40.712313509004865,"Briarwood/Jamaica Hills, Queens"
